gov,name,name_clean,position,date_start,date_end,ministry
Schober II,abs. iur. DDDr. h.c Johannes Schober,c Johannes Schober,Betraut mit der Leitung des Bundesministeriums,1922-01-27,1922-05-31,Bundesministerium für Inneres und Unterricht
Schober II,Dr. Rudolf Paltauf,Rudolf Paltauf,Bundesminister,1922-01-27,1922-05-31,Bundesministerium für Justiz
Schober II,abs. iur. DDDr. h.c Johannes Schober,c Johannes Schober,Betraut mit der Leitung des Bundesministeriums,1922-05-10,1922-05-31,Bundesministerium für Finanzen
Schober II,Dr. Alfred Gürtler,Alfred Gürtler,Bundesminister,1922-01-27,1922-05-10,Bundesministerium für Finanzen
Schober II,Dr. Leopold Hennet,Leopold Hennet,Bundesminister,1922-01-27,1922-05-31,Bundesministerium für Land- und Forstwirtschaft
Schober II,Dr. Alfred Grünberger,Alfred Grünberger,Bundesminister,1922-01-27,1922-05-31,"Bundesministerium für Handel und Gewerbe, Industrie und Bauten"
Schober II,Dr. Franz Pauer,Franz Pauer,Bundesminister,1922-01-27,1922-05-31,Bundesministerium für soziale Verwaltung
Schober II,Dr. Leopold Hennet,Leopold Hennet,Betraut mit der Leitung des Bundesministeriums,1922-01-27,1922-05-31,Bundesministerium für Äußeres
Schober II,Josef Wächter,Josef Wächter,Bundesminister,1922-01-27,1922-05-31,Bundesministerium für Heereswesen
Schober II,Dr. Alfred Grünberger,Alfred Grünberger,Betraut mit der Leitung des Bundesministeriums,1922-01-27,1922-05-31,Bundesministerium für Volksernährung
Schober II,Dr. Walter Rodler,Walter Rodler,Bundesminister,1922-01-27,1922-05-31,Bundesministerium für Verkehrswesen
Schober I,abs. iur. DDDr. h.c Johannes Schober,c Johannes Schober,Bundeskanzler,1921-06-21,1922-01-26,Bundeskanzleramt
Schober I,Walter Breisky,Walter Breisky,Vizekanzler,1921-06-21,1922-01-26,Bundeskanzleramt
Schober I,Walter Breisky,Walter Breisky,Betraut mit der Leitung der Angelegenheiten des Unterrichts und Kultus,1921-06-21,1922-01-26,Bundesministerium für Inneres und Unterricht
Schober I,abs. iur. DDDr. h.c Johannes Schober,c Johannes Schober,Betraut mit der Führung der Geschäfte des Bundesministeriums,1922-01-16,1922-01-26,Bundesministerium für Inneres und Unterricht
Schober I,Dr. Leopold Waber,Leopold Waber,Bundesminister,1921-06-21,1922-01-16,Bundesministerium für Inneres und Unterricht
Schober I,Dr. Rudolf Paltauf,Rudolf Paltauf,Bundesminister,1921-06-21,1922-01-26,Bundesministerium für Justiz
Schober I,Dr. Alfred Gürtler,Alfred Gürtler,Bundesminister,1921-10-07,1922-01-26,Bundesministerium für Finanzen
Schober I,Dr. Ferdinand Grimm,Ferdinand Grimm,Bundesminister,1921-06-21,1921-10-07,Bundesministerium für Finanzen
Schober I,Dr. Leopold Hennet,Leopold Hennet,Bundesminister,1921-06-21,1922-01-26,Bundesministerium für Land- und Forstwirtschaft
Schober I,Dr. Alfred Grünberger,Alfred Grünberger,Bundesminister,1921-10-07,1922-01-26,"Bundesministerium für Handel und Gewerbe, Industrie und Bauten"
Schober I,Alexander Angerer,Alexander Angerer,Bundesminister,1921-06-21,1921-10-07,"Bundesministerium für Handel und Gewerbe, Industrie und Bauten"
Schober I,Dr. Franz Pauer,Franz Pauer,Bundesminister,1921-06-21,1922-01-26,Bundesministerium für soziale Verwaltung
Schober I,abs. iur. DDDr. h.c Johannes Schober,c Johannes Schober,Betraut mit der Leitung des Bundesministeriums,1921-06-21,1922-01-26,Bundesministerium für Äußeres
